age,size,body_shape,skin_tone,cloth_description,image_path,score,prompt
38,XL,apple,light,navy denim tank and shorts with classic buttons,training data/87.png,1.0,"Full-body, head-to-toe studio fashion photo of an Indian female, age 38, size XL, apple body shape, light skin tone. Outfit color: navy. Fabric: denim. Wearing navy denim tank and shorts with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
35,XL,hourglass,light,burgundy knit kurta set with a structured silhouette,training data/88.png,0.635,"Full-body, head-to-toe studio fashion photo of an Indian female, age 35, size XL, hourglass body shape, light skin tone. Outfit color: burgundy. Fabric: knit. Wearing burgundy knit kurta set with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
49,XS,rectangle,medium,blue wool shirt dress with minimal prints,training data/89.png,0.33,"Full-body, head-to-toe studio fashion photo of an Indian female, age 49, size XS, rectangle body shape, medium skin tone. Outfit color: blue. Fabric: wool. Wearing blue wool shirt dress with minimal prints. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
49,M,rectangle,deep,black knit blazer and trousers with a relaxed fit,training data/90.png,0.323,"Full-body, head-to-toe studio fashion photo of an Indian female, age 49, size M, rectangle body shape, deep skin tone. Outfit color: black. Fabric: knit. Wearing black knit blazer and trousers with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
43,XL,hourglass,deep,mustard knit crop top and skirt with subtle embroidery,training data/91.png,0.518,"Full-body, head-to-toe studio fashion photo of an Indian female, age 43, size XL, hourglass body shape, deep skin tone. Outfit color: mustard. Fabric: knit. Wearing mustard knit crop top and skirt with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
49,L,hourglass,light,red silk kurta set with a fitted waist,training data/92.png,0.121,"Full-body, head-to-toe studio fashion photo of an Indian female, age 49, size L, hourglass body shape, light skin tone. Outfit color: red. Fabric: silk. Wearing red silk kurta set with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,S,apple,deep,black chiffon blazer and trousers with soft drape,training data/93.png,0.461,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size S, apple body shape, deep skin tone. Outfit color: black. Fabric: chiffon. Wearing black chiffon blazer and trousers with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
25,S,rectangle,deep,red satin crop top and skirt with a fitted waist,training data/94.png,0.244,"Full-body, head-to-toe studio fashion photo of an Indian female, age 25, size S, rectangle body shape, deep skin tone. Outfit color: red. Fabric: satin. Wearing red satin crop top and skirt with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
53,S,rectangle,light,teal silk blazer and trousers with clean tailoring,training data/95.png,0.34,"Full-body, head-to-toe studio fashion photo of an Indian female, age 53, size S, rectangle body shape, light skin tone. Outfit color: teal. Fabric: silk. Wearing teal silk blazer and trousers with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
50,M,hourglass,medium,red knit maxi skirt with a fitted waist,training data/96.png,0.345,"Full-body, head-to-toe studio fashion photo of an Indian female, age 50, size M, hourglass body shape, medium skin tone. Outfit color: red. Fabric: knit. Wearing red knit maxi skirt with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
53,XL,rectangle,medium,green denim jumpsuit with classic buttons,training data/97.png,0.234,"Full-body, head-to-toe studio fashion photo of an Indian female, age 53, size XL, rectangle body shape, medium skin tone. Outfit color: green. Fabric: denim. Wearing green denim jumpsuit with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
44,XS,apple,deep,burgundy chiffon crop top and skirt with a structured silhouette,training data/98.png,0.965,"Full-body, head-to-toe studio fashion photo of an Indian female, age 44, size XS, apple body shape, deep skin tone. Outfit color: burgundy. Fabric: chiffon. Wearing burgundy chiffon crop top and skirt with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
26,XL,athletic,medium,navy knit blazer and trousers with flowy layers,training data/99.png,0.015,"Full-body, head-to-toe studio fashion photo of an Indian female, age 26, size XL, athletic body shape, medium skin tone. Outfit color: navy. Fabric: knit. Wearing navy knit blazer and trousers with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
27,L,pear,light,burgundy satin shirt dress with classic buttons,training data/100.png,0.65,"Full-body, head-to-toe studio fashion photo of an Indian female, age 27, size L, pear body shape, light skin tone. Outfit color: burgundy. Fabric: satin. Wearing burgundy satin shirt dress with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
